customer_name,review_title,review,rating,item_id
Mandamermaid,Pretty cool tv,I wanted a tv that looked better in my new apartment,3,1
mrzwebb,surprised by the addition,My husband was very set on some solution for art to be shown in the house however it had to be a future solution. ,2.5,2
Bjornvdm,"The best 32"" TV i have bought since ages",This is great,5,3
LeizN,The Art of my Samsung,"Received and mounted my new Samsung Frame TV. TV is a bad moniker for this sophisticated and sleek device to stream media watch traditional TV",3.5,4
Art Loving Family ,Art Mode is Amazing! (the kids love it!),we just got our frame tv this past week.,4,5
Borat,Just over the top!,we purchased our retirement home because I want to,5,6
EEProf ,Frame 32in can't turn off auto rotate,i have the 32in frame 2020 I mounted it portrait orientation the tv automatically switched the menu/layout to portrait mode (built in accelerometer) great. ,1.5,7
JONATHAN ,Poor Soft lack memory 'my photo' 500MB USB2.0,"Concept great!! Implementation Poor. USB 2.0 port not able to display pictures directly and requires transfer to 'My Photo' area limited to 500 MB space. App size is over half used my application that can't be deleted that are preloaded. Samsung needs to remove the limitations by allowing deletion of preloaded apps and allow use of the USB ports to display directly for My Photos images. If done then product would be recommended.",4.5,8
karen ,One caveat,Excellent except had to get HDMI extender to resolve overheating issue,4,9
Tonyea,Very easy setup I love the device for my TV,The streaming stick with very easy to set up on my TV. The only problem I found with it is the remote does not power my TV on or off and it does not increase or decrease my volume. The streaming device told me that it would not be able to control my volume. Is this common?,3,10
Mandamermaid,Pretty cool tv,I wanted a tv that looked better in my new,3,11
mrzwebb,surprised by the addition,My husband was very set on some solution for art to be shown in the house however it had to be a future solution. ,2.5,12
Bjornvdm,"The best 32"" TV i have bought since ages",I wanted a tv that looked better in my new apartment,5,13
LeizN,The Art of my Samsung,My husband was very set on some solution for art to be shown in the house however it had to be a future solution. ,3.5,14
Art Loving Family ,Art Mode is Amazing! (the kids love it!),This is great,4,15
Steven,Just over the top!,"Received and mounted my new Samsung Frame TV. TV is a bad moniker for this sophisticated and sleek device to stream media watch traditional TV",5,16
EEProf ,Frame 32in can't turn off auto rotate,we just got our frame tv this past week.,1.5,17
JONATHAN ,Poor Soft lack memory 'my photo' 500MB USB2.0,we purchased our retirement home because I want to,4.5,18
karen ,One caveat,i have the 32in frame 2020 I mounted it portrait orientation the tv automatically switched the menu/layout to portrait mode (built in accelerometer) great. ,4,19
Tonyea,Very easy setup I love the device for my TV,"Concept great!! Implementation Poor. USB 2.0 port not able to display pictures directly and requires transfer to 'My Photo' area limited to 500 MB space. App size is over half used my application that can't be deleted that are preloaded. Samsung needs to remove the limitations by allowing deletion of preloaded apps and allow use of the USB ports to display directly for My Photos images. If done then product would be recommended.",3,20
